run_id,sweep_group,sweep_var,sweep_value,variant_mode,secondary_variant_weight,translation_ratio,rerank_alpha,weight_vec,weight_bm25,rerank_candidates,exit_code,duration_sec,questions_expected,retrieval_blocks,questions,avg_base_top1_score,avg_rerank_top1_score,avg_rerank_margin_top1_top2,unique_rerank_top1_chunks,hit_at_1_count,hit_at_1_rate,hit_at_5_count,hit_at_5_rate,hit_at_8_count,hit_at_8_rate,hit_at_dynamic_k_count,hit_at_dynamic_k_rate,avg_dynamic_k
bm25_ratio__r0p25__tr0p50__ra0p50__rc30,bm25_ratio,bm25_ratio,0.25,mapped_current,0.5,0.5,0.5,0.75,0.25,30,0,111.409,36,36,36,0.0169,0.567,0.36,16,30,0.8333,35,0.9722,36,1.0,36,1.0,4.2778
bm25_ratio__r0p25__tr0p50__ra0p50__rc40,bm25_ratio,bm25_ratio,0.25,mapped_current,0.5,0.5,0.5,0.75,0.25,40,0,135.846,36,36,36,0.0169,0.5671,0.3508,16,30,0.8333,34,0.9444,36,1.0,36,1.0,4.5278
bm25_ratio__r0p50__tr0p50__ra0p50__rc10,bm25_ratio,bm25_ratio,0.5,mapped_current,0.5,0.5,0.5,0.5,0.5,10,0,51.295,36,36,36,0.0163,0.5473,0.3617,17,30,0.8333,35,0.9722,35,0.9722,35,0.9722,2.9722
bm25_ratio__r0p50__tr0p50__ra0p50__rc20,bm25_ratio,bm25_ratio,0.5,mapped_current,0.5,0.5,0.5,0.5,0.5,20,0,77.866,36,36,36,0.0167,0.5671,0.3554,16,30,0.8333,36,1.0,36,1.0,36,1.0,4.0278
bm25_ratio__r0p50__tr0p50__ra0p50__rc30,bm25_ratio,bm25_ratio,0.5,mapped_current,0.5,0.5,0.5,0.5,0.5,30,0,110.875,36,36,36,0.0167,0.5671,0.3537,16,30,0.8333,34,0.9444,36,1.0,36,1.0,4.3889
bm25_ratio__r0p50__tr0p50__ra0p50__rc40,bm25_ratio,bm25_ratio,0.5,mapped_current,0.5,0.5,0.5,0.5,0.5,40,0,134.612,36,36,36,0.0167,0.5671,0.3508,16,30,0.8333,34,0.9444,36,1.0,36,1.0,4.5833
bm25_ratio__r0p75__tr0p50__ra0p50__rc10,bm25_ratio,bm25_ratio,0.75,mapped_current,0.5,0.5,0.5,0.25,0.75,10,0,50.015,36,36,36,0.0165,0.213,0.1107,8,5,0.1389,8,0.2222,8,0.2222,8,0.2222,5.3611
bm25_ratio__r0p75__tr0p50__ra0p50__rc20,bm25_ratio,bm25_ratio,0.75,mapped_current,0.5,0.5,0.5,0.25,0.75,20,0,74.842,36,36,36,0.0169,0.3386,0.1885,15,12,0.3333,16,0.4444,16,0.4444,16,0.4444,5.4722
bm25_ratio__r0p75__tr0p50__ra0p50__rc30,bm25_ratio,bm25_ratio,0.75,mapped_current,0.5,0.5,0.5,0.25,0.75,30,0,110.751,36,36,36,0.0169,0.4016,0.219,18,19,0.5278,22,0.6111,24,0.6667,24,0.6667,5.4167
bm25_ratio__r0p75__tr0p50__ra0p50__rc40,bm25_ratio,bm25_ratio,0.75,mapped_current,0.5,0.5,0.5,0.25,0.75,40,0,135.559,36,36,36,0.017,0.5671,0.3508,16,30,0.8333,34,0.9444,36,1.0,36,1.0,4.5833
bm25_ratio__r0p90__tr0p50__ra0p50__rc10,bm25_ratio,bm25_ratio,0.9,mapped_current,0.5,0.5,0.5,0.09999999999999998,0.9,10,0,50.116,36,36,36,0.0167,0.213,0.1107,8,5,0.1389,8,0.2222,8,0.2222,8,0.2222,5.3611
bm25_ratio__r0p90__tr0p50__ra0p50__rc20,bm25_ratio,bm25_ratio,0.9,mapped_current,0.5,0.5,0.5,0.09999999999999998,0.9,20,0,74.739,36,36,36,0.0171,0.3386,0.1885,15,12,0.3333,16,0.4444,16,0.4444,16,0.4444,5.4722
bm25_ratio__r0p90__tr0p50__ra0p50__rc30,bm25_ratio,bm25_ratio,0.9,mapped_current,0.5,0.5,0.5,0.09999999999999998,0.9,30,0,110.892,36,36,36,0.0172,0.4016,0.219,18,19,0.5278,22,0.6111,24,0.6667,24,0.6667,5.4167
bm25_ratio__r0p90__tr0p50__ra0p50__rc40,bm25_ratio,bm25_ratio,0.9,mapped_current,0.5,0.5,0.5,0.09999999999999998,0.9,40,0,135.651,36,36,36,0.0174,0.5671,0.3508,16,30,0.8333,34,0.9444,36,1.0,36,1.0,4.5833
bm25_ratio__r1p00__tr0p50__ra0p50__rc10,bm25_ratio,bm25_ratio,1.0,mapped_current,0.5,0.5,0.5,0.0,1.0,10,0,49.811,36,36,36,0.0178,0.213,0.1107,8,5,0.1389,8,0.2222,8,0.2222,8,0.2222,5.3611
bm25_ratio__r1p00__tr0p50__ra0p50__rc20,bm25_ratio,bm25_ratio,1.0,mapped_current,0.5,0.5,0.5,0.0,1.0,20,0,74.808,36,36,36,0.0178,0.3386,0.1885,15,12,0.3333,16,0.4444,16,0.4444,16,0.4444,5.4722
bm25_ratio__r1p00__tr0p50__ra0p50__rc30,bm25_ratio,bm25_ratio,1.0,mapped_current,0.5,0.5,0.5,0.0,1.0,30,0,110.771,36,36,36,0.0178,0.4016,0.219,18,19,0.5278,22,0.6111,24,0.6667,24,0.6667,5.4167
bm25_ratio__r1p00__tr0p50__ra0p50__rc40,bm25_ratio,bm25_ratio,1.0,mapped_current,0.5,0.5,0.5,0.0,1.0,40,0,135.577,36,36,36,0.0178,0.5671,0.3508,16,30,0.8333,34,0.9444,36,1.0,36,1.0,4.5833
translation_ratio__r0p00__bm250p50__ra0p50__rc10,translation_ratio,translation_ratio,0.0,mapped_current,0.0,0.0,0.5,0.5,0.5,10,0,51.18,36,36,36,0.015,0.5649,0.3791,16,31,0.8611,36,1.0,36,1.0,36,1.0,2.7222
translation_ratio__r0p00__bm250p50__ra0p50__rc20,translation_ratio,translation_ratio,0.0,mapped_current,0.0,0.0,0.5,0.5,0.5,20,0,77.992,36,36,36,0.0154,0.5671,0.3554,16,30,0.8333,36,1.0,36,1.0,36,1.0,4.0556
translation_ratio__r0p00__bm250p50__ra0p50__rc30,translation_ratio,translation_ratio,0.0,mapped_current,0.0,0.0,0.5,0.5,0.5,30,0,110.627,36,36,36,0.0155,0.5671,0.3537,16,30,0.8333,34,0.9444,36,1.0,36,1.0,4.3889
translation_ratio__r0p00__bm250p50__ra0p50__rc40,translation_ratio,translation_ratio,0.0,mapped_current,0.0,0.0,0.5,0.5,0.5,40,0,135.59,36,36,36,0.0155,0.5671,0.3508,16,30,0.8333,34,0.9444,36,1.0,36,1.0,4.5833
translation_ratio__r0p10__bm250p50__ra0p50__rc10,translation_ratio,translation_ratio,0.1,mapped_current,0.1,0.1,0.5,0.5,0.5,10,0,51.382,36,36,36,0.0153,0.5473,0.3617,17,30,0.8333,35,0.9722,35,0.9722,35,0.9722,2.9722
translation_ratio__r0p10__bm250p50__ra0p50__rc20,translation_ratio,translation_ratio,0.1,mapped_current,0.1,0.1,0.5,0.5,0.5,20,0,77.84,36,36,36,0.0157,0.5671,0.3554,16,30,0.8333,36,1.0,36,1.0,36,1.0,4.0278
translation_ratio__r0p10__bm250p50__ra0p50__rc30,translation_ratio,translation_ratio,0.1,mapped_current,0.1,0.1,0.5,0.5,0.5,30,0,110.753,36,36,36,0.0157,0.5671,0.3537,16,30,0.8333,34,0.9444,36,1.0,36,1.0,4.3889
translation_ratio__r0p10__bm250p50__ra0p50__rc40,translation_ratio,translation_ratio,0.1,mapped_current,0.1,0.1,0.5,0.5,0.5,40,0,134.799,36,36,36,0.0157,0.5671,0.3508,16,30,0.8333,34,0.9444,36,1.0,36,1.0,4.5833
translation_ratio__r0p25__bm250p50__ra0p50__rc10,translation_ratio,translation_ratio,0.25,mapped_current,0.25,0.25,0.5,0.5,0.5,10,0,51.29,36,36,36,0.0157,0.5473,0.3617,17,30,0.8333,35,0.9722,35,0.9722,35,0.9722,2.9722
translation_ratio__r0p25__bm250p50__ra0p50__rc20,translation_ratio,translation_ratio,0.25,mapped_current,0.25,0.25,0.5,0.5,0.5,20,0,78.028,36,36,36,0.0161,0.5671,0.3554,16,30,0.8333,36,1.0,36,1.0,36,1.0,4.0278
translation_ratio__r0p25__bm250p50__ra0p50__rc30,translation_ratio,translation_ratio,0.25,mapped_current,0.25,0.25,0.5,0.5,0.5,30,0,111.789,36,36,36,0.0161,0.5671,0.3537,16,30,0.8333,34,0.9444,36,1.0,36,1.0,4.3889
translation_ratio__r0p25__bm250p50__ra0p50__rc40,translation_ratio,translation_ratio,0.25,mapped_current,0.25,0.25,0.5,0.5,0.5,40,0,134.9,36,36,36,0.0161,0.5671,0.3508,16,30,0.8333,34,0.9444,36,1.0,36,1.0,4.5833
translation_ratio__r0p50__bm250p50__ra0p50__rc10,translation_ratio,translation_ratio,0.5,mapped_current,0.5,0.5,0.5,0.5,0.5,10,0,51.69,36,36,36,0.0163,0.5473,0.3617,17,30,0.8333,35,0.9722,35,0.9722,35,0.9722,2.9722
translation_ratio__r0p50__bm250p50__ra0p50__rc20,translation_ratio,translation_ratio,0.5,mapped_current,0.5,0.5,0.5,0.5,0.5,20,0,77.785,36,36,36,0.0167,0.5671,0.3554,16,30,0.8333,36,1.0,36,1.0,36,1.0,4.0278
translation_ratio__r0p50__bm250p50__ra0p50__rc30,translation_ratio,translation_ratio,0.5,mapped_current,0.5,0.5,0.5,0.5,0.5,30,0,110.815,36,36,36,0.0167,0.5671,0.3537,16,30,0.8333,34,0.9444,36,1.0,36,1.0,4.3889
translation_ratio__r0p50__bm250p50__ra0p50__rc40,translation_ratio,translation_ratio,0.5,mapped_current,0.5,0.5,0.5,0.5,0.5,40,0,134.733,36,36,36,0.0167,0.5671,0.3508,16,30,0.8333,34,0.9444,36,1.0,36,1.0,4.5833
translation_ratio__r0p75__bm250p50__ra0p50__rc10,translation_ratio,translation_ratio,0.75,mapped_current,0.75,0.75,0.5,0.5,0.5,10,0,51.316,36,36,36,0.0169,0.5473,0.3617,17,30,0.8333,35,0.9722,35,0.9722,35,0.9722,2.9722
translation_ratio__r0p75__bm250p50__ra0p50__rc20,translation_ratio,translation_ratio,0.75,mapped_current,0.75,0.75,0.5,0.5,0.5,20,0,78.02,36,36,36,0.0173,0.5671,0.3554,16,30,0.8333,36,1.0,36,1.0,36,1.0,4.0278
translation_ratio__r0p75__bm250p50__ra0p50__rc30,translation_ratio,translation_ratio,0.75,mapped_current,0.75,0.75,0.5,0.5,0.5,30,0,111.013,36,36,36,0.0174,0.5497,0.3365,17,29,0.8056,33,0.9167,35,0.9722,35,0.9722,4.5833
translation_ratio__r0p75__bm250p50__ra0p50__rc40,translation_ratio,translation_ratio,0.75,mapped_current,0.75,0.75,0.5,0.5,0.5,40,0,134.991,36,36,36,0.0174,0.5671,0.3508,16,30,0.8333,34,0.9444,36,1.0,36,1.0,4.5833
translation_ratio__r0p90__bm250p50__ra0p50__rc10,translation_ratio,translation_ratio,0.9,mapped_current,0.9,0.9,0.5,0.5,0.5,10,0,51.528,36,36,36,0.0173,0.5473,0.3617,17,30,0.8333,35,0.9722,35,0.9722,35,0.9722,2.9722
translation_ratio__r0p90__bm250p50__ra0p50__rc20,translation_ratio,translation_ratio,0.9,mapped_current,0.9,0.9,0.5,0.5,0.5,20,0,77.858,36,36,36,0.0177,0.5497,0.3383,17,29,0.8056,35,0.9722,35,0.9722,35,0.9722,4.2222
translation_ratio__r0p90__bm250p50__ra0p50__rc30,translation_ratio,translation_ratio,0.9,mapped_current,0.9,0.9,0.5,0.5,0.5,30,0,110.939,36,36,36,0.0178,0.5497,0.3365,17,29,0.8056,33,0.9167,35,0.9722,35,0.9722,4.5833
translation_ratio__r0p90__bm250p50__ra0p50__rc40,translation_ratio,translation_ratio,0.9,mapped_current,0.9,0.9,0.5,0.5,0.5,40,0,134.838,36,36,36,0.0178,0.5671,0.3508,16,30,0.8333,34,0.9444,36,1.0,36,1.0,4.5833
translation_ratio__r1p00__bm250p50__ra0p50__rc10,translation_ratio,translation_ratio,1.0,mapped_current,1.0,1.0,0.5,0.5,0.5,10,0,52.219,36,36,36,0.0176,0.5473,0.3617,17,30,0.8333,35,0.9722,35,0.9722,35,0.9722,2.9722
translation_ratio__r1p00__bm250p50__ra0p50__rc20,translation_ratio,translation_ratio,1.0,mapped_current,1.0,1.0,0.5,0.5,0.5,20,0,77.907,36,36,36,0.018,0.5497,0.3383,17,29,0.8056,35,0.9722,35,0.9722,35,0.9722,4.2222
translation_ratio__r1p00__bm250p50__ra0p50__rc30,translation_ratio,translation_ratio,1.0,mapped_current,1.0,1.0,0.5,0.5,0.5,30,0,110.864,36,36,36,0.018,0.5497,0.3365,17,29,0.8056,33,0.9167,35,0.9722,35,0.9722,4.5833
translation_ratio__r1p00__bm250p50__ra0p50__rc40,translation_ratio,translation_ratio,1.0,mapped_current,1.0,1.0,0.5,0.5,0.5,40,0,134.596,36,36,36,0.018,0.5671,0.3508,16,30,0.8333,34,0.9444,36,1.0,36,1.0,4.5833
rerank_alpha__r0p00__bm250p50__tr0p50__rc10,rerank_alpha,rerank_alpha,0.0,mapped_current,0.5,0.5,0.0,0.5,0.5,10,0,51.184,36,36,36,0.0163,0.5416,0.3727,16,30,0.8333,35,0.9722,35,0.9722,35,0.9722,2.8611
rerank_alpha__r0p00__bm250p50__tr0p50__rc20,rerank_alpha,rerank_alpha,0.0,mapped_current,0.5,0.5,0.0,0.5,0.5,20,0,77.791,36,36,36,0.0167,0.5522,0.3532,16,30,0.8333,36,1.0,36,1.0,36,1.0,4.0
rerank_alpha__r0p00__bm250p50__tr0p50__rc30,rerank_alpha,rerank_alpha,0.0,mapped_current,0.5,0.5,0.0,0.5,0.5,30,0,111.014,36,36,36,0.0167,0.5523,0.3497,17,30,0.8333,35,0.9722,36,1.0,36,1.0,4.4444
rerank_alpha__r0p00__bm250p50__tr0p50__rc40,rerank_alpha,rerank_alpha,0.0,mapped_current,0.5,0.5,0.0,0.5,0.5,40,0,134.718,36,36,36,0.0167,0.5523,0.3468,17,30,0.8333,34,0.9444,36,1.0,36,1.0,4.6944
rerank_alpha__r0p10__bm250p50__tr0p50__rc10,rerank_alpha,rerank_alpha,0.1,mapped_current,0.5,0.5,0.1,0.5,0.5,10,0,51.247,36,36,36,0.0163,0.5422,0.3696,17,30,0.8333,35,0.9722,35,0.9722,35,0.9722,2.9167
rerank_alpha__r0p10__bm250p50__tr0p50__rc20,rerank_alpha,rerank_alpha,0.1,mapped_current,0.5,0.5,0.1,0.5,0.5,20,0,77.969,36,36,36,0.0167,0.5538,0.3528,16,30,0.8333,36,1.0,36,1.0,36,1.0,4.0278
rerank_alpha__r0p10__bm250p50__tr0p50__rc30,rerank_alpha,rerank_alpha,0.1,mapped_current,0.5,0.5,0.1,0.5,0.5,30,0,111.745,36,36,36,0.0167,0.5538,0.35,16,30,0.8333,34,0.9444,36,1.0,36,1.0,4.4167
rerank_alpha__r0p10__bm250p50__tr0p50__rc40,rerank_alpha,rerank_alpha,0.1,mapped_current,0.5,0.5,0.1,0.5,0.5,40,0,135.344,36,36,36,0.0167,0.554,0.3474,17,30,0.8333,34,0.9444,36,1.0,36,1.0,4.6389
rerank_alpha__r0p25__bm250p50__tr0p50__rc10,rerank_alpha,rerank_alpha,0.25,mapped_current,0.5,0.5,0.25,0.5,0.5,10,0,51.232,36,36,36,0.0163,0.544,0.3669,17,30,0.8333,35,0.9722,35,0.9722,35,0.9722,2.9722
rerank_alpha__r0p25__bm250p50__tr0p50__rc20,rerank_alpha,rerank_alpha,0.25,mapped_current,0.5,0.5,0.25,0.5,0.5,20,0,78.046,36,36,36,0.0167,0.5579,0.3533,16,30,0.8333,35,0.9722,36,1.0,36,1.0,4.0556
rerank_alpha__r0p25__bm250p50__tr0p50__rc30,rerank_alpha,rerank_alpha,0.25,mapped_current,0.5,0.5,0.25,0.5,0.5,30,0,111.411,36,36,36,0.0167,0.5579,0.351,16,30,0.8333,34,0.9444,36,1.0,36,1.0,4.3889
rerank_alpha__r0p25__bm250p50__tr0p50__rc40,rerank_alpha,rerank_alpha,0.25,mapped_current,0.5,0.5,0.25,0.5,0.5,40,0,135.08,36,36,36,0.0167,0.5585,0.3494,17,30,0.8333,34,0.9444,36,1.0,36,1.0,4.5556
rerank_alpha__r0p50__bm250p50__tr0p50__rc10,rerank_alpha,rerank_alpha,0.5,mapped_current,0.5,0.5,0.5,0.5,0.5,10,0,51.284,36,36,36,0.0163,0.5473,0.3617,17,30,0.8333,35,0.9722,35,0.9722,35,0.9722,2.9722
rerank_alpha__r0p50__bm250p50__tr0p50__rc20,rerank_alpha,rerank_alpha,0.5,mapped_current,0.5,0.5,0.5,0.5,0.5,20,0,77.9,36,36,36,0.0167,0.5671,0.3554,16,30,0.8333,36,1.0,36,1.0,36,1.0,4.0278
rerank_alpha__r0p50__bm250p50__tr0p50__rc30,rerank_alpha,rerank_alpha,0.5,mapped_current,0.5,0.5,0.5,0.5,0.5,30,0,111.731,36,36,36,0.0167,0.5671,0.3537,16,30,0.8333,34,0.9444,36,1.0,36,1.0,4.3889
rerank_alpha__r0p50__bm250p50__tr0p50__rc40,rerank_alpha,rerank_alpha,0.5,mapped_current,0.5,0.5,0.5,0.5,0.5,40,0,134.952,36,36,36,0.0167,0.5671,0.3508,16,30,0.8333,34,0.9444,36,1.0,36,1.0,4.5833
rerank_alpha__r0p75__bm250p50__tr0p50__rc10,rerank_alpha,rerank_alpha,0.75,mapped_current,0.5,0.5,0.75,0.5,0.5,10,0,51.309,36,36,36,0.0163,0.5506,0.3564,17,30,0.8333,35,0.9722,35,0.9722,35,0.9722,2.8889
rerank_alpha__r0p75__bm250p50__tr0p50__rc20,rerank_alpha,rerank_alpha,0.75,mapped_current,0.5,0.5,0.75,0.5,0.5,20,0,78.692,36,36,36,0.0167,0.5763,0.3546,16,30,0.8333,35,0.9722,36,1.0,36,1.0,3.9444
rerank_alpha__r0p75__bm250p50__tr0p50__rc30,rerank_alpha,rerank_alpha,0.75,mapped_current,0.5,0.5,0.75,0.5,0.5,30,0,110.974,36,36,36,0.0167,0.5763,0.3531,16,30,0.8333,35,0.9722,36,1.0,36,1.0,4.3056
rerank_alpha__r0p75__bm250p50__tr0p50__rc40,rerank_alpha,rerank_alpha,0.75,mapped_current,0.5,0.5,0.75,0.5,0.5,40,0,134.794,36,36,36,0.0167,0.5763,0.3507,16,30,0.8333,34,0.9444,36,1.0,36,1.0,4.5278
rerank_alpha__r0p90__bm250p50__tr0p50__rc10,rerank_alpha,rerank_alpha,0.9,mapped_current,0.5,0.5,0.9,0.5,0.5,10,0,51.412,36,36,36,0.0163,0.5525,0.3526,17,30,0.8333,35,0.9722,35,0.9722,35,0.9722,2.8889
rerank_alpha__r0p90__bm250p50__tr0p50__rc20,rerank_alpha,rerank_alpha,0.9,mapped_current,0.5,0.5,0.9,0.5,0.5,20,0,77.844,36,36,36,0.0167,0.5818,0.3534,16,30,0.8333,35,0.9722,36,1.0,36,1.0,3.9444
rerank_alpha__r0p90__bm250p50__tr0p50__rc30,rerank_alpha,rerank_alpha,0.9,mapped_current,0.5,0.5,0.9,0.5,0.5,30,0,111.209,36,36,36,0.0167,0.5818,0.3518,16,30,0.8333,34,0.9444,36,1.0,36,1.0,4.2778
rerank_alpha__r0p90__bm250p50__tr0p50__rc40,rerank_alpha,rerank_alpha,0.9,mapped_current,0.5,0.5,0.9,0.5,0.5,40,0,135.132,36,36,36,0.0167,0.5818,0.3493,16,30,0.8333,34,0.9444,36,1.0,36,1.0,4.4722
rerank_alpha__r1p00__bm250p50__tr0p50__rc10,rerank_alpha,rerank_alpha,1.0,mapped_current,0.5,0.5,1.0,0.5,0.5,10,0,41.641,36,36,36,0.0163,0.5539,0.3482,17,30,0.8333,35,0.9722,35,0.9722,35,0.9722,2.9167
rerank_alpha__r1p00__bm250p50__tr0p50__rc20,rerank_alpha,rerank_alpha,1.0,mapped_current,0.5,0.5,1.0,0.5,0.5,20,0,53.566,36,36,36,0.0167,0.5854,0.3508,16,30,0.8333,35,0.9722,36,1.0,36,1.0,3.9722
rerank_alpha__r1p00__bm250p50__tr0p50__rc30,rerank_alpha,rerank_alpha,1.0,mapped_current,0.5,0.5,1.0,0.5,0.5,30,0,70.607,36,36,36,0.0167,0.5855,0.3491,17,29,0.8056,34,0.9444,36,1.0,36,1.0,4.3056
rerank_alpha__r1p00__bm250p50__tr0p50__rc40,rerank_alpha,rerank_alpha,1.0,mapped_current,0.5,0.5,1.0,0.5,0.5,40,0,82.697,36,36,36,0.0167,0.5855,0.3465,17,29,0.8056,34,0.9444,36,1.0,36,1.0,4.5278
